epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.83901,2.61553,4.71255,1.32308,0.00022,0.02632,0.00012,1e-05,3.34093,4.85603,1.38073,0,0,0
2,9.07611,2.47618,4.82709,1.11247,0.00044,0.05263,0.00024,2e-05,3.31242,4.79032,1.34401,1.604e-05,1.604e-05,1.604e-05
3,13.3779,2.48034,4.74017,1.20749,0.00067,0.07895,0.00036,0.00013,3.28957,4.75881,1.29314,2.416e-05,2.416e-05,2.416e-05
4,17.8446,2.36869,4.77048,1.17063,0.00089,0.10526,0.00051,0.00015,3.26844,4.66898,1.27116,2.436e-05,2.436e-05,2.436e-05
5,22.0478,2.25997,4.50383,1.13408,0.00067,0.07895,0.00037,0.00015,3.22299,4.60781,1.24951,1.664e-05,1.664e-05,1.664e-05
